Name	Total	Godot Consultant	Coding Consultant	Blender Consultant	Math	Optimization	Path Following	Towers	Updrades	Game Layout	Target Movement	Target Spawning	Brownie Points	Audio Design	Scoring	Visual Design	Asset Design	HUD Design	Animation	Debug Tools	Debug	Game Concepts	Eagle Eyes	Eagle Brain	Moral Support	Morale Support	Hydration	Accountability	Credits
Lýz	180	28	6	4	2	2	10	13	3	2	6	5	4	1	1	5	11	5	2	2	25	1	11	5	15	3	5	2	1
Dungeon Martian	47	13	2			1	2	2		1	3	2	1				2	1	1		8		5		2	1			
Dormouse	17	4					1	3	1				2			1					4		1						
camwin	13	2	1	1			1	2			1						1				3							1	
murvkins	12	1			1		1	2				2					1				2			1	1				
Lord Overflow	10							1										1					3	3	2				
rulric	7	1															2			1	1				2				
Kieguy	6			2													3								1				
Bartsss	5										1					2		1			1								
Jonas Newhouse	5		1						1									1							1		1		
ThotTee	4	1																			1		1		1				
PawnxPawn	3	1					1																		1				
Douglas Allen	3						1	1																	1				
Precipire	3																				3								
Roger Random	3																										3		
nicbah	2						1																		1				
Mystic Fragments	2	1														1													
PsychonicJoe	2	2																											
DJ Alexander	2																				1					1			
Sable Spirit Studio	1						1																						
Aditya Budakoti	1	1																											
AndresBamb	1							1																					
Starbit Light	1																								1				
Pierogigon	1																1												
R0fael	1		1																										
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
	0																												
